concept_id,concept_name,concept_type,canonical_definition,product_role,user_relevance,current_mvp_scope_status,definition_maturity,confidence,evidence_basis,claim_ids,decision_ids,resolution_ids,source_paths,assumptions,open_questions,notes
CON040,Information Conflict,PRODUCT_CONCEPT; BUSINESS_RULE,"A condition where relevant sources, reports, historical observations or accepted information disagree materially about the same decision-relevant subject.",Triggers review rather than silent overwrite.,Operators; indirectly users through corrected/qualified information.,MVP — defined,partially defined,HIGH,Conflict handling is intrinsic to information-quality workflow and MISSING≠DELETE.,C026 C027 C029 C030,,R018 R019,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/06-data-acquisition.md | News Post-UTME - Product Discovery Additions V2 03-09-2026.md,,Fact-specific conflict resolution policies remain for later definition.,Conflict is not resolved merely by newest-source-wins.
CON041,User Contribution / Report,PRODUCT_CONCEPT,"Information submitted by a user to flag, add, challenge or contextualize StudyNexus information; it is an input to information quality, not canonical truth by submission alone.",Creates a feedback/evidence channel without requiring a full social product.,"Users who notice missing, stale or incorrect information.",MVP — defined,partially defined,HIGH,User reports were explicitly routed into the quality workflow and prohibited from direct canonical mutation.,C025 C063,,R008,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,,Whether a broader community product should exist is genuinely unresolved.,May not require public persistent accounts for every submission.
CON042,Search,PRODUCT_CAPABILITY; PRODUCT_CONCEPT,"Intentional retrieval of known or constrained education information using text, filters or other explicit criteria.","Helps users locate relevant institutions, offerings and related information efficiently.",All discovery users.,MVP — defined,well defined,HIGH,Search is explicitly distinguished from broader discovery; current MVP includes it.,C008 C013 C031 C032 C033 C034,D010 D011,R017,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md | studynexus-v4.7-remediation-package/studynexus-v4.7/README.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,,Exact ranking/relevance behavior remains product-tuning work.,Search technology is not the product definition.
CON043,Discovery,PRODUCT_CAPABILITY; PRODUCT_CONCEPT,"Exploration of education possibilities, alternatives, combinations and related information when the user does not already know the exact target.","Supports browsing, filtering, comparison and understanding across heterogeneous education information.",Prospective students and advisers especially.,MVP — defined,well defined,HIGH,Discovery is a recurring core problem/capability and is distinct from known-target search.,C008 C013 C031 C053 C067,,R017,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/product-experience/PRODUCT-EXPERIENCE-DISCOVERY.md | Education Services & Access - Product Discovery Additions 03-09-2026.md,,Exact taxonomy/facet minimums remain refinable.,Do not equate Discovery with search infrastructure.
CON044,Classification,PRODUCT_CONCEPT; BUSINESS_RULE,"A StudyNexus-curated association that places source-faithful offerings or other information into discovery groupings, taxonomies or views without rewriting the underlying source-faithful fact.",Supports cross-institution discovery and consistent exploration.,Users exploring comparable/related opportunities.,MVP — explicit assumption required,dependent on explicit assumption,MEDIUM-HIGH,September programme discovery strongly distinguishes curated classification from institution terminology and allows optional mapping.,C023 C024 C082 C083,D020 D022,R001 R002 R017,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,Institution Offering and Discovery Programme remain distinct product concepts; classification may be optional.,Cardinality and classification schemes require UL/product refinement.,An unclassified offering remains a valid offering.
CON045,Facet,PRODUCT_CONCEPT,"A meaningful dimension by which users can narrow or explore education information, such as geography, institution type, offering/discovery classification, funding or other supported attributes.",Makes heterogeneous information explorable rather than only keyword-searchable.,Discovery users.,MVP — boundary requires refinement,underspecified,MEDIUM-HIGH,Structured exploration and filter/search requirements recur; specific facet catalogue is not fully canonical.,C008 C013 C031 C035 C051,,R017,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md | Catchments-ELDS-Additions-03-09-2026.md,,Canonical facet set and country-specific semantics remain to be refined.,"A facet is product semantics, not a Typesense schema field."
CON046,Publication / Indexability,PRODUCT_CONCEPT; BUSINESS_RULE,The product decision about whether information or a discovery surface should be publicly exposed and/or made canonical/indexable for search engines; this is distinct from whether the underlying canonical fact exists.,Controls useful public discovery surfaces while avoiding arbitrary thin/duplicate combinations.,Public users and search-engine discovery.,MVP — boundary requires refinement,partially defined,HIGH,Selective SEO publication is an explicit recurring decision; not every filter combination is indexable.,C035 C065,,R017,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,,Exact landing-page/indexability policy remains to be formalized.,Do not unify publication state with canonical fact lifecycle.
CON047,Comparison,PRODUCT_CAPABILITY; PRODUCT_CONCEPT,A decision-support behavior that places relevant education options or facts side by side using comparable information.,Reduces the user's need to manually reconcile fragmented institutional data.,"Prospective students, parents and advisers.",MVP — defined,partially defined,HIGH,Comparison was an original problem/capability; dedicated view timing was historical sequencing only.,C009 C013 C014 C071,,R004,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,,The minimum comparison dimensions and dedicated UI are not fully specified.,"Comparison can exist across multiple product surfaces, not only a named Compare page."
CON048,Career Pathway,PRODUCT_CONCEPT; PRODUCT_CAPABILITY,"Information connecting study choices to plausible career directions, occupations or next-step outcomes, without asserting deterministic employment results.",Helps learners understand why a study path may matter beyond admission.,Secondary students/recent graduates and undergraduates.,MVP — underspecified,underspecified,MEDIUM,Career pathways appeared in early discovery and were never explicitly rejected; later omission is not a current exclusion.,C061 C073,,R006,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,,"User problem, minimum information and evidence model require renewed research.",Current MVP membership does not imply a finalized capability.
CON049,Undergraduate Current Journey / WF7,PRODUCT_CAPABILITY; PRODUCT_CONCEPT,"The information journey for a current undergraduate seeking to understand their present educational path, progression and relevant next decisions.",Extends StudyNexus beyond pre-admission discovery to current-student information needs.,Current undergraduates.,MVP — defined,partially defined,HIGH,WF7 was explicitly approved and has no later rejection; absence from first vertical slice is not supersession.,C015 C072,,R005,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,,Capability minimum and overlap with transfers/careers/internships need refinement.,"WF7 is a workflow label, not necessarily a final product term."
CON050,Transfer,PRODUCT_CONCEPT; PRODUCT_CAPABILITY,"Information supporting a learner who is considering moving between institutions, programmes or education paths, including relevant requirements and constraints where known.",Supports a current-student transition decision.,Undergraduates and other transfer-eligible learners.,MVP — underspecified,underspecified,MEDIUM,Transfers were discovered historically and never explicitly rejected; later omission does not remove them under current scope rule.,C062 C074,,R007,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,,Jurisdiction-specific transfer semantics and minimum information need research.,Do not imply StudyNexus executes the transfer.
CON051,Postgraduate Pathway / Opportunity,PRODUCT_CONCEPT; PRODUCT_CAPABILITY,Information that helps users discover and understand postgraduate study options and relevant entry/pathway information.,Supports continuation beyond undergraduate study.,"Undergraduates, graduates and advisers.",MVP — underspecified,underspecified,MEDIUM,Postgraduate opportunities were historical needs without explicit rejection.,C062 C074,,R007,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,,"Scope, user groups, information minimum and relationship to Institution Offering need refinement.",Current scope membership does not make it first vertical slice.
CON052,Internship Opportunity,PRODUCT_CONCEPT; PRODUCT_CAPABILITY,Information about internship or practical-work opportunities relevant to learners' education/career journey.,Supports transition from study toward practical experience/career exploration.,Undergraduates and recent graduates.,MVP — underspecified,underspecified,MEDIUM,Internships appeared as historical needs and were not explicitly rejected.,C062 C074,,R007,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,,"Whether StudyNexus aggregates, curates or only guides to opportunities needs evidence.",Do not imply application/placement execution.
CON053,Public Account / Persistent Identity,PRODUCT_CONCEPT; PRODUCT_CAPABILITY,"A persistent user identity that can support saved state or personal capabilities. It is not required for anonymous core discovery/search/comparison, but under the current MVP-default rule remains in MVP consideration.","Potential enabling concept for saves, alerts and personalization while preserving anonymous access.",Users who benefit from persistent state.,MVP — boundary requires refinement,underspecified,MEDIUM,Historical decision says no account is required for core MVP; this does not establish a present exclusion under the current scope rule.,C016,D003 D021,R012,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction),Anonymous core discovery/search/comparison remains a product requirement; account introduction must be justified by persistent/personal value.,What minimum account capabilities justify identity and privacy cost.,This is a current canonicalization correction to prior remediation.
CON054,Personalization,PRODUCT_CAPABILITY,"Adaptation of information, recommendations, saved state or guidance to a user's declared or persistent context without making personalization a prerequisite for core anonymous discovery.",May reduce repeated effort and improve relevance for users with ongoing journeys.,Returning users or users with persistent preferences.,MVP — underspecified,underspecified,LOW-MEDIUM,Historically placed later but still under consideration; current MVP-default rule keeps it in scope absent explicit exclusion.,C016,D003 D021,R012,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction),Core product remains usable anonymously.,"Personalization outcomes, inputs and privacy boundary require product definition.",Do not infer that an account is mandatory.
CON055,Notification,PRODUCT_CAPABILITY,"A product-initiated alert or update to a user about relevant educational information or changes, where the user has an appropriate delivery context/consent.","Could help users act on changing deadlines, information or opportunities.",Users with ongoing time-sensitive journeys.,MVP — underspecified,underspecified,LOW-MEDIUM,Historically placed later; current MVP-default rule prevents that label from being a present exclusion by itself.,C016,D021,R012,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md | Current remediation protocol (user instruction),,"Trigger types, channels, consent/persistence requirements and information-quality thresholds.",Not part of the first vertical slice under current evidence.
CON056,Ranking / Institutional Intelligence,PRODUCT_CONCEPT; PRODUCT_CAPABILITY,"A possible product representation of comparative institutional metrics, imported rankings, normalized observations or StudyNexus-derived intelligence.",Potentially supports comparison/reputation decisions.,"Users comparing institutions, if validated.",GENUINELY UNRESOLVED WHETHER PRODUCT CAPABILITY,genuinely unresolved,LOW,Dedicated September ranking discovery file is empty; scattered architecture/reputation references do not establish a canonical product capability.,C050 C085,,R009,Ranking - Product Discovery Additions 03-09-2026.md,,"Whether users need rankings, what problem they solve, and whether StudyNexus imports or computes them.",Do not promote architecture speculation into product scope.
CON057,Country / Administrative Area,PRODUCT_CONCEPT; REFERENCE_CONCEPT,"Geographic context used to locate institutions/services and interpret discovery, admission, funding and other jurisdiction-dependent information.",Makes location and jurisdiction meaningful to users without assuming Nigerian state terminology is universal.,All users whose decisions depend on location/jurisdiction.,MVP — defined,partially defined,HIGH,Geography appears across multiple product concerns; Nigeria-first semantics must not become global assumptions.,C051 C057 C084,D005,R014,Catchments-ELDS-Additions-03-09-2026.md | StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,,Exact administrative hierarchy belongs to later vocabulary/domain work.,Current public rollout remains Nigeria-first.
CON058,Organization (potential shared abstraction),DOMAIN_CONCEPT_CANDIDATE,"A possible umbrella abstraction for non-person actors such as regulators, exam bodies, scholarship providers, publishers or service providers. The corpus does not yet prove that these actors share one product meaning.",Flags a modeling question for later work rather than asserting a canonical product concept.,Indirect user relevance through attribution/authority/provider information.,MVP — boundary requires refinement,genuinely unresolved,LOW-MEDIUM,"Many actor types exist, but shared identity/lifecycle/behavior has not been established.",C052,D023,R016,Education Services & Access - Product Discovery Additions 03-09-2026.md | STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,Do not introduce a universal Organization solely for technical reuse.,Whether any actor identity should be shared across contexts.,Vocabulary/modeling input only; not a product feature.
CON059,Information Trust Category,PRODUCT_CONCEPT,"A user-facing or operational categorization that may distinguish official/authoritative, StudyNexus-verified, historical or community-contributed information without implying that these categories are one universal four-state model.",Helps communicate differing evidence and trust context.,Users judging reliability; operators maintaining quality.,MVP — boundary requires refinement,underspecified,MEDIUM,"Historical material distinguishes information origins/trust classes, but remediation warns against assuming four universal modes.",C007 C026 C069,,R019,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,,Which trust categories/signals should be exposed to users and when.,"Treat as a vocabulary family, not a final state machine."
