path,directory,filename,bytes,words,extension,depth,readable,is_empty,sha256,exact_duplicate_group_size,exact_duplicate_group,duplicate_representative,is_exact_duplicate_copy,analysis_class,substantive_synthesis_included,exclusion_reason,near_duplicate_cluster
StudyNexus-Independent-Audit-Package-v4/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-ARCHITECTURE.md,StudyNexus-Independent-Audit-Package-v4/02-PRODUCT-EXPERIENCE,PRODUCT-EXPERIENCE-ARCHITECTURE.md,92691,11215,.md,2,True,False,2a6c92175b94cc4936591ac321fb357e4878c885d18c651051eeb8863e7158f5,1,,StudyNexus-Independent-Audit-Package-v4/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-ARCHITECTURE.md,False,architecture_implementation,False,Scanned for product-impacting consequences and historical drift; not primary product/problem evidence.,ND-013
StudyNexus-Independent-Audit-Package-v4/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-DISCOVERY.md,StudyNexus-Independent-Audit-Package-v4/02-PRODUCT-EXPERIENCE,PRODUCT-EXPERIENCE-DISCOVERY.md,63696,7291,.md,2,True,False,c1b7d7aeec13283a87a4104c37d43cd1a686b9bced49dc6fe10f012f30b29d34,2,XD-067,StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-DISCOVERY.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/02-PRODUCT-EXPERIENCE/PRODUCT-EXPERIENCE-DISCOVERY.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/05-implementation-RECONCILIATION-PROPOSAL.md,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION,05-implementation-RECONCILIATION-PROPOSAL.md,36336,4099,.md,2,True,False,b8c807e714a0229a28b1cc82190226206e2a5dac044997a8bd4ed011f9142bbb,2,XD-061,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/05-implementation-RECONCILIATION-PROPOSAL.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/05-implementation-RECONCILIATION-PROPOSAL.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/IMPLEMENTATION-MODEL-RECONCILIATION.md,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION,IMPLEMENTATION-MODEL-RECONCILIATION.md,30177,2842,.md,2,True,False,6aba954e4be3a969710e8e9d2e353aac8407540c8a3cf878af2df3dbea38e472,2,XD-034,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-MODEL-RECONCILIATION.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-MODEL-RECONCILIATION.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-AUDIT.md,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION,IMPLEMENTATION-PLAN-AUDIT.md,56139,6729,.md,2,True,False,3d91d88d8f5aa4d4a36fa6f3f62c75e351ceb506bce26275cf23150e755b0387,2,XD-025,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-AUDIT.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-AUDIT.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-CORRECTION-REPORT.md,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION,IMPLEMENTATION-PLAN-CORRECTION-REPORT.md,20088,2210,.md,2,True,False,fc14db8d959ce51fb25283791022a57d768611f18930c9f829a21ce8b5e560ba,2,XD-081,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-CORRECTION-REPORT.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-CORRECTION-REPORT.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-FINAL-AUDIT.md,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION,IMPLEMENTATION-PLAN-FINAL-AUDIT.md,17561,1846,.md,2,True,False,59cb79c88cf575fe7f5215a2cd11698d0decda4c24d87f73ca43862a0e3885c4,2,XD-028,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-FINAL-AUDIT.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-FINAL-AUDIT.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-FINAL-CLEANUP-REPORT.md,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION,IMPLEMENTATION-PLAN-FINAL-CLEANUP-REPORT.md,10324,1273,.md,2,True,False,fd1c9c52ed274924bca012fda2ea24350c5675d9a2e4c14e69bcf39aafb8a9b9,2,XD-082,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-FINAL-CLEANUP-REPORT.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN-FINAL-CLEANUP-REPORT.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/IMPLEMENTATION-PLAN.md,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION,IMPLEMENTATION-PLAN.md,90465,8802,.md,2,True,False,cf4fb8d47c8b1018f1a7c6d41b37050c332bf9637722dc9b794285f3f4c501ef,2,XD-071,StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/03-IMPLEMENTATION/IMPLEMENTATION-PLAN.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION,STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md,14427,1895,.md,2,True,False,bb5dc3555a31ed67cf76a9a7cbf595b61aeb1294aae47599deb7bc9eac987290,1,,StudyNexus-Independent-Audit-Package-v4/03-IMPLEMENTATION/STUDYNEXUS-CANONICAL-REMEDIATION-REPORT.md,False,audit_or_report_mixed,True,,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/ADVERSARIAL-DECISION-REVIEW.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,ADVERSARIAL-DECISION-REVIEW.md,132336,17708,.md,2,True,False,5a62bf40af2041a22ac3f5169e34455dc005ff032aed66ad0b5195fdd304431c,2,XD-030,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/ADVERSARIAL-DECISION-REVIEW.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/ADVERSARIAL-DECISION-REVIEW.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/BASELINE-RECONCILIATION-AUDIT.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,BASELINE-RECONCILIATION-AUDIT.md,49857,5648,.md,2,True,False,c52ccbe8b468bb5c76494afdfc52ef81c109d146b1bdd0465231fcfdfa29af1f,2,XD-069,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/BASELINE-RECONCILIATION-AUDIT.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/BASELINE-RECONCILIATION-AUDIT.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/CANONICAL-AMENDMENT-REPORT.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,CANONICAL-AMENDMENT-REPORT.md,12695,1494,.md,2,True,False,95c8a3fc49a889cf83fada2239bf2cb4c7165775924312a07c928dc6fccb8401,7,XD-047,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-AMENDMENT-REPORT.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-AMENDMENT-REPORT.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/CANONICAL-AUTHORITY-MATRIX.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,CANONICAL-AUTHORITY-MATRIX.md,9343,1186,.md,2,True,False,5aa306d9f3eafa06f900633c6a1dfdaaf3e8a1d846e005d9d4230c492f7dcad7,2,XD-031,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-AUTHORITY-MATRIX.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-AUTHORITY-MATRIX.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/CANONICAL-CONSISTENCY-AUDIT.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,CANONICAL-CONSISTENCY-AUDIT.md,20262,1694,.md,2,True,False,0939f0c1a439373453ff4cb26ceecbaf53f3fe65efda48820973acdc758c97a2,2,XD-001,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-CONSISTENCY-AUDIT.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-CONSISTENCY-AUDIT.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/CANONICAL-UPDATE-REPORT.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,CANONICAL-UPDATE-REPORT.md,15525,1916,.md,2,True,False,3349b8b317edc674d09dbc14dcc3d05d453c401f6b5408b84a1c0799c032aeea,3,XD-021,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-UPDATE-REPORT.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/CANONICAL-UPDATE-REPORT.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/DISCOVERY-CLOSURE.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,DISCOVERY-CLOSURE.md,36718,4575,.md,2,True,False,38a7fd221b4773f59b70b868c985d6ae350497f34aae105a91c968d614884cb1,3,XD-022,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/DISCOVERY-CLOSURE.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/DISCOVERY-CLOSURE.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/FIELD-PROVENANCE-HOSTILE-REVIEW.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,FIELD-PROVENANCE-HOSTILE-REVIEW.md,27249,3672,.md,2,True,False,1f612c9471b328d63c6173338501e13cda941c8a07f48efcd20839369fabc828,1,,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/FIELD-PROVENANCE-HOSTILE-REVIEW.md,False,audit_or_report_mixed,True,,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/FINAL-LINEAGE-SEMANTICS-RESOLUTION.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,FINAL-LINEAGE-SEMANTICS-RESOLUTION.md,38186,4546,.md,2,True,False,aa4f2cded2f1b917dd23098df63c8db649fa6cfb760f1fb075550706b1b0b45a,8,XD-054,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FINAL-LINEAGE-SEMANTICS-RESOLUTION.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/FINAL-LINEAGE-SEMANTICS-RESOLUTION.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/FINAL-TARGETED-SCHEMA-PROVENANCE-HOSTILE-REVIEW.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,FINAL-TARGETED-SCHEMA-PROVENANCE-HOSTILE-REVIEW.md,43174,5126,.md,2,True,False,128459465c6a84bdd92f5d660d22788a40b2b2aef05f0084038278a44b35de97,7,XD-007,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FINAL-TARGETED-SCHEMA-PROVENANCE-HOSTILE-REVIEW.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FINAL-TARGETED-SCHEMA-PROVENANCE-HOSTILE-REVIEW.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-ADVERSARIAL-REVIEW.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,FOUNDATIONAL-DECISIONS-ADVERSARIAL-REVIEW.md,67039,9052,.md,2,True,False,0f625e66d9f6b35a0569854a71ac482de28d0cc2686f5e9676dd1b93d1fc91ce,7,XD-005,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-ADVERSARIAL-REVIEW.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-ADVERSARIAL-REVIEW.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-BRIEF.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,FOUNDATIONAL-DECISIONS-BRIEF.md,68529,8391,.md,2,True,False,47ca0be904cdbcb54e536d9c06cb307b5f2a1303f278751f2406223ef37f3c07,2,XD-026,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-BRIEF.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/FOUNDATIONAL-DECISIONS-BRIEF.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/PRE-IMPLEMENTATION-BASELINE-REPORT.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,PRE-IMPLEMENTATION-BASELINE-REPORT.md,6305,729,.md,2,True,False,2605abb52242ed2eb90a8a260c7a0aee9f925bd3098b7fa716906963aa01ead1,3,XD-015,PRE-IMPLEMENTATION-BASELINE-REPORT.md,True,exact_duplicate_copy,False,Exact byte duplicate of PRE-IMPLEMENTATION-BASELINE-REPORT.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/RECONCILIATION-DECISION-AUDIT.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,RECONCILIATION-DECISION-AUDIT.md,39718,4952,.md,2,True,False,c0f9a0334d0b2d1ffae96b2410236cc97b4b7faa63c9033be70f51e38135fa1c,2,XD-066,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/RECONCILIATION-DECISION-AUDIT.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/RECONCILIATION-DECISION-AUDIT.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/RECONCILIATION-EXECUTIVE-SUMMARY.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,RECONCILIATION-EXECUTIVE-SUMMARY.md,14231,1797,.md,2,True,False,a1ead90abbac894a14cda279d33f5584abd02d9b30975b8d2deb713ff6012268,2,XD-052,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/RECONCILIATION-EXECUTIVE-SUMMARY.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/RECONCILIATION-EXECUTIVE-SUMMARY.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/SECOND-ORDER-ARCHITECTURE-REVIEW.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,SECOND-ORDER-ARCHITECTURE-REVIEW.md,75337,9059,.md,2,True,False,dc2e37f8cdc76a14a61bece90eb68f67e65637af0c9befdbb45d111d6176a6cc,8,XD-076,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/SECOND-ORDER-ARCHITECTURE-REVIEW.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/governance/SECOND-ORDER-ARCHITECTURE-REVIEW.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE/external-identifiers-status-vs-validity.md,StudyNexus-Independent-Audit-Package-v4/04-GOVERNANCE,external-identifiers-status-vs-validity.md,23454,3004,.md,2,True,False,3bf3c053e577a3bd55128f5f8332b4c5b6cf2e2acb1fc95d293c0e14e149ee2b,2,XD-024,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/external-identifiers-status-vs-validity-hostile-review.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/external-identifiers-status-vs-validity-hostile-review.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/05-PRODUCT-STRATEGY/MERGED-AUDIT-OF-STUDYNEXUS-PLAN.md,StudyNexus-Independent-Audit-Package-v4/05-PRODUCT-STRATEGY,MERGED-AUDIT-OF-STUDYNEXUS-PLAN.md,147251,18547,.md,2,True,False,9bba661f7492371c199519d5a6e331d7ca8951f6fc0307110764f31b5cfbbb2e,1,,StudyNexus-Independent-Audit-Package-v4/05-PRODUCT-STRATEGY/MERGED-AUDIT-OF-STUDYNEXUS-PLAN.md,False,audit_or_report_mixed,True,,
StudyNexus-Independent-Audit-Package-v4/05-PRODUCT-STRATEGY/PRODUCT-DISCOVERY-CHALLENGE.md,StudyNexus-Independent-Audit-Package-v4/05-PRODUCT-STRATEGY,PRODUCT-DISCOVERY-CHALLENGE.md,60752,7580,.md,2,True,False,167f7c10fe1b72837a6318c791a3d9c1642846648ce4664824473a5a17de688c,2,XD-009,StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/PRODUCT-DISCOVERY-CHALLENGE.md,True,exact_duplicate_copy,False,Exact byte duplicate of StudyNexus-Independent-Audit-Package-v3/04-GOVERNANCE/PRODUCT-DISCOVERY-CHALLENGE.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/05-PRODUCT-STRATEGY/README.md,StudyNexus-Independent-Audit-Package-v4/05-PRODUCT-STRATEGY,README.md,1583,187,.md,2,True,False,c5e2a25710116b819a95035d480be8fa7608dad8185632ee20ec04fadef11922,1,,StudyNexus-Independent-Audit-Package-v4/05-PRODUCT-STRATEGY/README.md,False,metadata_orientation,False,Used for corpus/authority/chronology only; no independent product conclusion relies on it.,
StudyNexus-Independent-Audit-Package-v4/06-DATA-ACQUISITION/30-data-acquisition-pipeline-HISTORICAL.md,StudyNexus-Independent-Audit-Package-v4/06-DATA-ACQUISITION,30-data-acquisition-pipeline-HISTORICAL.md,19684,1752,.md,2,True,False,18c7c1d07abf6b1f66eb4a5a234f462335bc293f2356bc00e410b1a670e28c69,9,XD-011,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/30-data-acquisition-pipeline.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/30-data-acquisition-pipeline.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/06-DATA-ACQUISITION/README.md,StudyNexus-Independent-Audit-Package-v4/06-DATA-ACQUISITION,README.md,1224,148,.md,2,True,False,371305f795c488707fb9deceb0ef0fe049ccc6e8645601b54d567376b9cbf71f,1,,StudyNexus-Independent-Audit-Package-v4/06-DATA-ACQUISITION/README.md,False,data_acquisition_evidence,True,,
StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL/01-business-overview.md,StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL,01-business-overview.md,12843,1484,.md,2,True,False,70a5bd289c8b2945350cc3dfe27a6f727db770e84a5f60740f529db457c5fde4,9,XD-036,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL/03-approved-decisions.md,StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL,03-approved-decisions.md,16118,2005,.md,2,True,False,2cea05b2ef3eca41cd7ea37c6b5f9a3246d462eab178a2a4b385ea30335ee620,9,XD-017,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL/04-open-questions.md,StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL,04-open-questions.md,7981,1006,.md,2,True,False,11962f984e517c02f753b9b25030e2c1257e98d4169f4be2d5790903792055f4,9,XD-006,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL/09-business-discovery-freeze.md,StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL,09-business-discovery-freeze.md,4487,592,.md,2,True,False,c1dfad3462d93eaf6070bc556eb819183316c2fa44e110ad57f9c0a1fdfc428c,9,XD-068,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/09-business-discovery-freeze.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/09-business-discovery-freeze.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL/14-architectural-review-global-domain.md,StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL,14-architectural-review-global-domain.md,34976,4575,.md,2,True,False,15eebf8a7845c74a562e971baffc4ca07f66207b0eb75555deb14dc13a1b2279,9,XD-008,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/14-architectural-review-global-domain.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/14-architectural-review-global-domain.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL/21-domain-architecture-frozen-baseline.md,StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL,21-domain-architecture-frozen-baseline.md,108803,12005,.md,2,True,False,5714e0c76d2cc9c87b61af4eea0a267ffbaf815376332f9b84d5e1c97de1ba9c,9,XD-027,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/21-domain-architecture-frozen-baseline.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/21-domain-architecture-frozen-baseline.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL/22-post-freeze-platform-architecture-review.md,StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL,22-post-freeze-platform-architecture-review.md,79823,8912,.md,2,True,False,886716950b7b3ba5a9dfcef3fedcfb467eb66b1c3860b80323d43b856f308da3,9,XD-043,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/22-post-freeze-platform-architecture-review.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/22-post-freeze-platform-architecture-review.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL/23-laravel-ecosystem-build-vs-buy-review.md,StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL,23-laravel-ecosystem-build-vs-buy-review.md,116374,13571,.md,2,True,False,c09fa4f087aca72d3921e8525450afef3d9edd9c719fd211c77268743be52c29,9,XD-065,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/23-laravel-ecosystem-build-vs-buy-review.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/23-laravel-ecosystem-build-vs-buy-review.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL/24-final-platform-and-capability-architecture.md,StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL,24-final-platform-and-capability-architecture.md,117115,13899,.md,2,True,False,217973d4b8416b598b5f2bcca737799bed40d08d73756fabbc524549ad91b9fa,9,XD-014,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md; representative considered instead.,
StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL/26-pre-implementation-reconciliation.md,StudyNexus-Independent-Audit-Package-v4/07-HISTORICAL,26-pre-implementation-reconciliation.md,57858,7146,.md,2,True,False,fd8691af9a925206dd726cbf32983d1873304fe2f9a387ab51c558a6b0d711ad,9,XD-083,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/26-pre-implementation-reconciliation.md,True,exact_duplicate_copy,False,Exact byte duplicate of STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/26-pre-implementation-reconciliation.md; representative considered instead.,
