decision_id,title,decision_status,decision_statement,period,rationale,affected_areas,superseded_decisions,supporting_sources,current_authority
ADR-11,ADR-11: Polymorphic vs Separate Tables,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** Admission Policy and Accreditation Record each belong to either an Institution or a Programme (polymorphic parent). The architecture must decide whether to use Laravel's polymorphic relationships or separate tables per parent type. **Decision:** Polymorphic relationships for Admission Policy (`governable_type` + `governable_id`) and Accreditation Record (`accreditable_type` + `accreditable_id`). These share identical structure regardless of parent type. Index on `(accreditable_type, accreditable_id)` and `(governable_type, governable_id)` for query performance. **Consequences:** Fewer tables, simpler schema, DRY code. The trade-off is polymorphic query performance — mitigated by PostgreSQL's handling of polymorphic queries and proper indexing. If performance becomes an issue, separate tables can be introduced as a refactor. ---",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-12,ADR-12: Repository Decision,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** DDD traditionally uses repositories to abstract persistence from the domain model. With Eloquent models as aggregate roots, repositories would add a layer between the Action and the model. **Decision:** No repositories. Eloquent IS the repository. Actions and domain services query and persist Eloquent models directly. The only known seam is InstitutionMerger, which directly loads and persists multiple aggregates within a transaction. If aggregate reconstruction becomes complex, introduce a Repository per aggregate at that point. **Consequences:** Fewer classes, simpler code, direct Eloquent access. The InstitutionMerger coupling is documented as a known seam. The decision is pragmatic: for MVP, Eloquent's query builder and relationship methods provide all needed persistence operations. A repository layer would add indirection without concrete benefit. --",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-13,ADR-13: Reference Data Management,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** Three supporting entities (Qualification, Scholarship Provider, Education Authority) have identity but no protected invariants. They are reference data — managed by admins, rarely changed, used as FK targets by domain entities. **Decision:** Supporting entities are managed via Filament CRUD resources. They are seeded for initial markets (Nigeria first, then other countries). Country is an ISO 3166-1 wrapper (`App\Support\CountryReference`), not a domain VO. Reference data seeders are per-country (`NigeriaReferenceDataSeeder`, `GhanaReferenceDataSeeder`, etc.). **Consequences:** Simple admin management for reference data. No domain operations, no invariants, no events for supporting entities. They are data, not behaviour. New countries require new seeders and potentially new InstitutionType/AwardLevel enum cases (see ADR-15). ---",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-14,ADR-14: Testing Strategy,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The architecture has four layers: domain (models, VOs, enums), application (Actions, Queries), presentation (Livewire, Filament), and infrastructure (search, queue, cache). Tests must be prioritized by domain importance. **Decision:** Four test layers in priority order: (1) Domain Unit — invariants, state transitions, VO equality, enum behaviour (PHPUnit on model instances without DB); (2) Feature (Actions) — Action orchestration, authorization, event dispatch (PHPUnit with SQLite in-memory); (3) Feature (Queries) — query correctness, read model accuracy (PHPUnit with SQLite + factories); (4) Browser (Livewire) — UI interactions, form submission, search (Laravel Dusk or Livewire testing). Domain tests are highest priority because they verify business rules that must hold regardless of UI or infrastructure. **Consequences:** Domain invariants are testable",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-15,ADR-15: InstitutionType and AwardLevel — Enum vs Reference Data,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted (new, added by frozen baseline) **Context:** InstitutionType and AwardLevel are currently PHP backed enums. Adding a new institution type (e.g., ""Language School"" for Study Abroad) or award level (e.g., ""Certificate"" for vocational education) requires a code change — a new enum case must be added and deployed. The tension is between type safety (enums with behaviour methods like `isDegreeGranting()`) and data flexibility (reference data tables allowing admin-configured values without code changes). **Decision:** Retain as PHP enums for MVP. Enum values are domain concepts with behaviour (e.g., `InstitutionType::University->isDegreeGranting()`). Reference data tables cannot express this behaviour without additional code. The set of institution types and award levels is relatively stable — new values are added infrequently. Code changes for new enum values are trivial ",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-16,ADR-16: Domain Event Interface Contract,HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted (new, added by frozen baseline) **Context:** The validation identified the DomainEvent interface as ceremonial — it required four methods that provided no runtime value. Three options were considered: (1) remove entirely, (2) replace with a trait providing default implementations, (3) keep with justification. **Decision:** Remove entirely (Option 1). Domain events are plain PHP classes. No shared interface, no shared trait. No consumer requires polymorphic event processing. The four methods (eventType, aggregateId, aggregateType, occurredAt) are derivable from the class itself. If a generic handler that processes any domain event polymorphically is needed in the future, a trait or interface can be introduced then — driven by actual demand, not speculative ceremony. **Consequences:** Simpler code, fewer abstractions, consistent with Laravel Beyond CRUD's pragmatism. E",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-17,ADR-17: Caching and Performance Strategy,HISTORICAL_TECHNICAL_DECISION,"**Status:** Deferred **Context:** Production performance requirements are unknown. Caching strategy, database indexing, eager loading patterns, and scalability thresholds cannot be meaningfully decided without production data. **Decision:** Deferred until production performance requirements are known. The approach will be: Redis for read-model caching, model caching for frequently-accessed institutions/programmes, HTTP cache for public pages, cache invalidation via domain event listeners. Database indexing strategy defined during migration creation. Eager loading defined in Query classes. **Consequences:** Not a blocker — the architecture is sound without explicit caching. Premature optimization is avoided. The deferral is documented and intentional. ---",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-18,ADR-18: Data Ingestion Architecture,HISTORICAL_TECHNICAL_DECISION,**Status:** Resolved ---,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-19,ADR-19: Uniform BIGINT Primary Keys (BD-1),HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The baseline mixed UUID and BIGINT primary keys across domain and reference tables. disciplines and cut_off_marks used UUID PKs while the main domain entities used BIGINT. FK references from programmes.discipline_id and cut_off_marks.programme_id/admission_cycle_id were UUID, creating an inconsistency with the BIGINT convention used everywhere else. **Decision:** ALL canonical/domain tables use BIGINT auto-increment PKs. UUID remains ONLY for staging/import identities: import_batches.id, pending_imports.id. disciplines.id → BIGINT, cut_off_marks.id → BIGINT. All FK references to these tables → BIGINT. pending_imports.matching_entity_id → BIGINT. **Consequences:** Consistent PK type across all domain and reference tables. Simplified FK management. UUID retained only where ephemeral staging identity benefits outweigh consistency (import batches/records). -",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-20,ADR-20: AdmissionCycle PhaseSequence with Stable Phase IDs (BD-3),HISTORICAL_TECHNICAL_DECISION,**Status:** Accepted **Context:** The original AdmissionCycle model used a PhaseSequence Value Object but did not specify the phase identification strategy. Mutable phase labels could cause current_phase references to break if labels changed. **Decision:** phase_sequence is a JSONB Value Object containing ordered phases with stable immutable phase IDs and mutable phase labels. current_phase is authoritative domain state referencing a stable phase ID (never a mutable label). Phase IDs and ordering are immutable after cycle activation. current_phase membership invariant: current_phase must be a member of phase_sequence. Phase transitions use explicit pessimistic locking via lockForUpdate() inside transaction. Domain events dispatched after successful transaction commit. **Consequences:** Phase identity is stable even if labels change. current_phase is always resolvable. Pessimistic locking,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-21,ADR-21: Generic External Identifiers (BD-5),HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The baseline considered per-entity external code columns (jamb_code, nuc_code, nbte_code, ncce_code) on canonical entities. This approach is fragile — each new authority requires a schema migration and code changes. **Decision:** No jamb_code/nuc_code/nbte_code/ncce_code columns on canonical entities. Instead, a generic ExternalIdentifier model with: entity_type VARCHAR(255), entity_id BIGINT, authority_id BIGINT FK → education_authorities (NOT NULL — the assigning authority), identifier_type VARCHAR(100), identifier VARCHAR(255), status VARCHAR(50) DEFAULT 'active', valid_from TIMESTAMP DEFAULT NOW(), valid_until TIMESTAMP NULL, source_id BIGINT NULL FK → information_sources (nullable — the observing source; NULL = editorial entry), replaced_by_id BIGINT NULL FK → external_identifiers (self-referencing), retirement_reason TEXT NULL, metadata JSONB NULL.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-22,ADR-22: InformationSource as Independent Aggregate Root (ND-5),HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The baseline had InformationSource belongsTo Institution (institution_id FK), making sources institution-scoped. This is incorrect — an InformationSource (e.g., ""JAMB Official Brochure 2026"") is not owned by a single institution; it may provide data about many institutions. **Decision:** InformationSource is an independent aggregate root with no institution_id FK. Instead, authority_id BIGINT NULL FK → education_authorities (nullable — NULL means the source is not published by an EducationAuthority). InformationSource belongsTo EducationAuthority (nullable). Remove belongsTo Institution relationship. **Consequences:** Sources are institution-independent, correctly modeling real-world information sources. The authority_id link captures the publishing authority when applicable. Institution-specific source verification is handled through the provenance mode",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
ADR-23,ADR-23: Hybrid Provenance Model (ND-4),HISTORICAL_TECHNICAL_DECISION,"**Status:** Accepted **Context:** The baseline had primary_source_id on entities for provenance, which only captures one source per entity and cannot represent field-level attribution or conflicting sources. **Decision:** Entity-level provenance JSONB on each entity for lightweight source metadata. field_provenance table for selective source attribution/conflict/history: entity_type VARCHAR(255), entity_id BIGINT, field_name VARCHAR(255), source_id BIGINT NULL FK → information_sources (nullable — NULL = editorial assertion), observed_value TEXT, confidence SMALLINT NULL (nullable for retroactive records), verification_status VARCHAR(50) DEFAULT 'unverified' (enum, NOT boolean is_verified), observed_at TIMESTAMP, superseded_at TIMESTAMP NULL, superseded_by_id BIGINT NULL FK → field_provenance (self-referencing), retroactive BOOLEAN DEFAULT FALSE. No is_active — derive active from supersed",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,3. Architecture Decision Records,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-011,Laravel ^13.0,HISTORICAL_DECISION,"Laravel 13 is the canonical framework version. It is required by Filament v5, which mandates Laravel 13 as its minimum framework version. Laravel 12 is explicitly rejected as the implementation baseline — while Laravel 12 was the version referenced in earlier architecture drafts, Filament v5's release and its Laravel 13 dependency make Laravel 13 the only viable choice. Laravel 13 also provides improved native enum support, enhanced Eloquent casting, and continued TALL stack alignment. The `^13.0` constraint allows minor updates within the major version.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,4. Platform & Version Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-012,PHP 8.5,HISTORICAL_DECISION,"PHP 8.5 is the canonical runtime version. It supersedes the earlier PHP 8.3 reference. PHP 8.5 provides readonly class promotion, improved attribute handling, and performance improvements that benefit the domain model's extensive use of readonly properties and backed enums. The PHP version is dictated by Laravel 13's minimum requirement and the desire for the most current stable runtime.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,4. Platform & Version Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-013,Filament v5 + Livewire v4,HISTORICAL_DECISION,"Filament v5 is the canonical admin panel version. It is incompatible with Laravel 12 and requires Laravel 13 as its framework base. Filament v5 provides Filament Shield (for policy-based resource authorization), improved resource customization, and native Livewire v4 integration. Filament v3 is explicitly rejected — it is incompatible with both Laravel 13 and Livewire v4, and its continued maintenance is limited as the community transitions to v5. Livewire v4 is the canonical version for public-facing interactive UI, providing improved performance, better Alpine.js integration, and Flux component support.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,4. Platform & Version Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-014,PostgreSQL 16+,HISTORICAL_DECISION,"PostgreSQL 16 or later is the canonical database. It provides advanced full-text search capabilities (maintained as a secondary search capability per ADR-6 for admin search and fallback), native JSON indexing for VO columns, robust polymorphic relationship support, and strong data integrity constraints. Typesense is the V1 search engine per ADR-6; PostgreSQL FTS is the fallback.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,4. Platform & Version Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-015,Tailwind CSS + Flux + Alpine.js,HISTORICAL_DECISION,"Tailwind CSS is the utility-first CSS framework. Flux provides the reusable UI component and design-system layer. Alpine.js handles lightweight browser-side interactions (dropdowns, tooltips, toggles). These are part of the TALL stack (Tailwind + Alpine + Laravel + Livewire) that is canonical per the architecture freeze. --- ## 5. RBAC Decisions The authoritative role model is defined in `29-rbac-decision.md` and supersedes all prior role references in `21-domain-architecture-frozen-baseline.md` and earlier documents. The 11-role model was derived from the pre-implementation reconciliation (Change R2) and resolves correction C5.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,4. Platform & Version Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-016,5.1 Role Inventory,HISTORICAL_DECISION,"The 11 roles are organized into three scopes: platform-global (4 roles), institution-scoped (5 roles), and user-level (2 roles). Platform-global roles are stored via Spatie Permission in the standard `model_has_roles` and `model_has_permissions` tables. Institution-scoped roles are stored via a custom `OrganizationMember` pivot model with a string `role` column. User-level roles are stored via Spatie Permission.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,5. RBAC Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-017,5.2 Mechanism,HISTORICAL_DECISION,See source.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,5. RBAC Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-018,5.3 OrganizationMember Pivot Model,HISTORICAL_DECISION,"The `OrganizationMember` pivot model uses a morphable relationship to link users to organizations (institutions). The `organization_members.role` column is a **string** column, NOT a foreign key to the Spatie `roles` table. This is a critical design decision: institution-scoped roles are a separate concept from global Spatie roles. The same user can be owner of Institution A and viewer of Institution B — roles are scoped to the organization, not global. The pivot stores: `organization_type` (morph via Relation::morphMap: `institution`, `scholarship_provider`, `education_authority`), `organization_id`, `user_id`, `role` (string: `owner`, `admin`, `admissions`, `editor`, `viewer`), `created_at`, `updated_at`. Policy checks combine global role checks with organization-scoped membership checks. For example, to determine whether a user can edit an institution's programmes: the user must have ",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,5. RBAC Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-REJ-19,Admission Pathway as Entity,HISTORICAL_REJECTED,"**Rejected:** Admission Pathway as a domain entity with its own table, model, and lifecycle. **Canonical:** Admission Pathway is a Value Object (`App\Domain\ValueObjects\AdmissionPathway.php`). **Rationale:** The Domain Discovery behaviour audit (Topic 41/15) established that Admission Pathway has no independent lifecycle, no protected invariants, no identity beyond its value, and no autonomous business operations. It is a discriminator within an Admission Policy — a named admission route (UTME, Direct Entry, IJMB, JUPEB, diploma) with an optional authority reference. Promotion back to entity would require: (1) invariant justification, (2) identity beyond discriminator, (3) autonomous lifecycle. None of these exist. If they emerge, the promotion is additive (add table, add model), not structurally breaking.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,6. Important Rejected Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-REJ-20,7-Role Flat RBAC Model,HISTORICAL_REJECTED,"**Rejected:** A flat 7-role model (e.g., super-admin, data-manager, content-editor, data-viewer, student, counsellor, guest) stored entirely via Spatie Permission. **Canonical:** 11-role model with 4 platform-global + 5 institution-scoped + 2 user-level roles (see Section 5). **Rationale:** A flat role model cannot express the multi-admin-per-institution requirement. If Institution A has Admin Alice and Institution B has Admin Bob, a flat `admin` Spatie role gives Alice admin access to ALL institutions, not just Institution A. The OrganizationMember pivot with organization-scoped roles solves this — Alice can be `admin` for Institution A and `viewer` for Institution B, with roles scoped to the organization (per V4.6, the role strings are bare: `owner`, `admin`, `admissions`, `editor`, `viewer`). A flat model would require either per-institution permission explosion or a custom authorizat",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,6. Important Rejected Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-REJ-21,`role_id` Foreign Key in OrganizationMember,HISTORICAL_REJECTED,"**Rejected:** `organization_members.role_id` as a FK to the Spatie `roles` table. **Canonical:** `organization_members.role` as a string column (`owner`, `admin`, `admissions`, `editor`, `viewer`). **Rationale:** Institution-scoped roles are a separate concept from global Spatie roles. Spatie's `roles` table stores global roles (platform-admin, content-admin, etc.) with permissions. Institution-scoped roles do not have permissions in the Spatie sense — they are positional roles within an organization that map to different authorization checks in Laravel Policies. Using a FK would conflate two different role concepts and require creating Spatie role entries for each institution-scoped role, polluting the global role namespace and creating maintenance complexity. The string column is simpler, clearer, and correctly models the domain concept.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,6. Important Rejected Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-REJ-22,`super-admin` Role Name,HISTORICAL_REJECTED,"**Rejected:** `super-admin` as the name for the top-level platform role. **Canonical:** `platform-admin`. **Rationale:** The name `platform-admin` is consistent with the naming convention (scope-prefix + function) used by all other platform-level roles: `platform-moderator`, `content-admin`, `content-editor`, plus the user-level `registered-user` and `guest`. The V4.6 organization-scoped role strings (`owner`, `admin`, `admissions`, `editor`, `viewer`) are deliberately *bare* — they have no scope prefix because the role's scope is implied by the membership row (e.g., Alice is `admin` of Institution A, not `institution-admin` of Institution A). This is mandated by the V4.6 alignment of upsert conflict targets with the physical schema (see MANIFEST.md V4.6 changes from V4.5). The `super-admin` name was used in earlier summary tables but does not follow the convention and was superseded dur",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,6. Important Rejected Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-REJ-23,Laravel 12 as Implementation Baseline,HISTORICAL_REJECTED,"**Rejected:** Laravel 12 as the framework version for implementation. **Canonical:** Laravel ^13.0. **Rationale:** Filament v5 requires Laravel 13 as its minimum framework version. Laravel 12 is incompatible with Filament v5 and Livewire v4, which are canonical per the architecture. Using Laravel 12 would force either (a) staying on Filament v3 (also rejected — incompatible with Laravel 13 and limited maintenance), or (b) a mid-project framework migration from Laravel 12 to 13 when Filament v5 is adopted. Starting on Laravel 13 avoids this migration entirely.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,6. Important Rejected Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-REJ-24,Filament v3,HISTORICAL_REJECTED,"**Rejected:** Filament v3 as the admin panel version. **Canonical:** Filament v5. **Rationale:** Filament v3 is incompatible with both Laravel 13 and Livewire v4. Filament v5 is the current major version with active maintenance, Filament Shield support for policy-based authorization, native Livewire v4 integration, and improved resource customization. Filament v3's maintenance is limited as the ecosystem transitions to v5.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,6. Important Rejected Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-REJ-25,34 Value Objects,HISTORICAL_REJECTED,"**Rejected:** 34 Value Objects (from earlier architecture drafts). **Canonical:** 29 Value Objects (12 immutable PHP objects + 17 PHP backed enums). **Rationale:** The frozen baseline's Value Object audit (per `21-domain-architecture-frozen-baseline.md`, Section 4) individually verified each VO against the criteria: genuine domain meaning, immutability, invariants, and correct classification. The audit confirmed 29 VOs (12 genuine VOs + 17 enums, with CampusStatus enum added for multi-campus support). The 34-count was an earlier draft that included speculative VOs or double-counted concepts that are better modeled as enum cases or attributes. The 29-count is authoritative because each VO is individually named, justified, and classified.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,6. Important Rejected Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-REJ-26,20 Enums,HISTORICAL_REJECTED,"**Rejected:** 20 PHP backed enums (from earlier counts). **Canonical:** 17 PHP backed enums. **Rationale:** The frozen baseline corrected an arithmetic error in the VO summary table. The authoritative recount confirms 17 PHP Backed Enums: 3 behavioural (InstitutionType, AwardLevel, AdmissionMode with domain methods like `isDegreeGranting()`) and 14 pure (AccreditationStatus, PolicyStatus, ProgrammeStatus, ScholarshipStatus, InstitutionStatus, SourceReliability, InformationCategory, AuthorityType, ProviderType, OwnershipType, DeliveryMode, QualificationStatus, CoverageType, CampusStatus). CampusStatus was added for multi-campus support.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,6. Important Rejected Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-REJ-27,10 Entities,HISTORICAL_REJECTED,"**Rejected:** 10 entities (from earlier counts that omitted Admission Policy as a child entity or merged Eligibility Policy into Scholarship). **Canonical (V4.6):** 13 entities (5 aggregate roots + 4 child entities + 4 supporting entities). The V2-era count of 11 entities (5+3+3) is superseded — V4.6 added ProgrammeInstance as a child entity and Campus as a supporting entity. **Rationale:** The canonical entity count includes: 5 aggregate roots (Educational Institution, Programme, Scholarship, Admission Cycle, Information Source), 4 child entities (Admission Policy, Eligibility Policy, Accreditation Record, **ProgrammeInstance** — each with lifecycle controlled by their parent aggregate; ProgrammeInstance is the concrete offering per campus/mode/year and owns admission policies, cut-off marks, and tuition), and 4 supporting entities (Qualification, Scholarship Provider, Education Authori",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,6. Important Rejected Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-DEF-28,Exact Monetisation Mechanics (OQ4-4),HISTORICAL_DEFERRED,"The strategic model is established (free core discovery/search/information access, with future monetisation through institution/provider services, premium capabilities, and relevant education-related commercial services). However, the exact mechanics — pricing tiers, payment integration, billing cycles, free-vs-paid feature boundaries — are deferred until the business model is tested against real usage data. Monetisation should not drive the core information architecture. This deferral ensures the domain model is not distorted by premature commercial assumptions.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,7. Deferred Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-DEF-29,Persona Severity Scoring (OQ3-4),HISTORICAL_DEFERRED,"The relative severity of the five problem dimensions (Fragmentation, Trust, Discoverability, Comparison, Accessibility) per persona is deferred until user research data is available. The current understanding is that Fragmentation, Discoverability, and Trust are foundational; Comparison is especially important during decision-making; Accessibility cuts across all personas. Detailed scoring requires quantitative user research that has not yet been conducted. This deferral prevents premature optimization of the UX for assumed severity rankings.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,7. Deferred Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-DEF-30,Candidate Concept Promotion (OQ7-3),HISTORICAL_DEFERRED,"The four candidate business concepts from workflow discovery are not automatically promoted to canonical. Their status depends on identity, lifecycle, ownership, persistence, and independent business behavior. They may instead be domain concepts, value objects, or attributes of other domain objects. Promotion requires explicit approval with evidence — this prevents premature glossary accumulation and ensures each canonical concept earns its place.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,7. Deferred Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-DEF-31,Performance/Caching Strategy (ADR-17),HISTORICAL_DEFERRED,"Deferred until production performance requirements are known. The approach will be Redis for read-model caching, model caching for frequently-accessed institutions/programmes, HTTP cache for public pages, cache invalidation via domain event listeners. Database indexing defined during migration creation. This is not a gap — it is intentional avoidance of premature optimization.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,7. Deferred Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-DEF-32,Data Ingestion Pipeline (ADR-18),HISTORICAL_DEFERRED,"Architecture decided. The data ingestion pipeline uses PostgreSQL ON CONFLICT DO UPDATE for idempotent canonical writes, with fuzzy matching restricted to staging/review only (ADR-18/INV-EI1). The ImportInstitutionData Action implements the first canonical import path. The hybrid provenance model (entity-level JSONB + field_provenance per ND-4/ADR-23) already supports import-attributed data.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,7. Deferred Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-DEF-33,Search Engine Selection (Typesense vs PostgreSQL FTS),HISTORICAL_DEFERRED,Typesense is the V1 search engine. PostgreSQL FTS serves as fallback and admin search.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,7. Deferred Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-DEF-34,Queue Driver (Redis vs Database),HISTORICAL_DEFERRED,Both options are viable for MVP. Database driver works for low volume. Redis needed for production async event processing at scale. Deferred to implementation.,V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,7. Deferred Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
HDEC-DEF-35,Custom PHPStan Rules,HISTORICAL_DEFERRED,"Code review as enforcement mechanism is acknowledged but insufficient for long-term discipline. Custom PHPStan rules to enforce Action Criterion, namespace conventions, and domain model access patterns will be added during implementation. Deferred to the implementation phase. --- ## 8. Change Proposal Protocol Business Discovery is frozen as of 2026-08-07 (per `09-business-discovery-freeze.md`). The Architecture is frozen as of 2026-08-08 (per `21-domain-architecture-frozen-baseline.md`). The following principles and protocol govern all modifications to frozen artifacts.",V4.6 historical baseline,See historical source; no rationale inferred beyond recorded text.,7. Deferred Decisions,,SRC-0514,HISTORICAL; NOT CURRENT PRODUCT/ARCHITECTURE AUTHORITY
