claim_id,claim,source_path,source_section,source_date_version,statement_type,decision_authority,historical_state,current_scope_state,delivery_state,evidentiary_relevance,contradicting_evidence,current_assessment,confidence,source_relationship
C058,PostgreSQL is canonical source of truth; Typesense is a derived search serving/projection mechanism.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,Persistence/Search,V4.6,TECHNICAL CONSTRAINT,Canonical architecture,CURRENT,CURRENT_TECHNICAL_CONSTRAINT,UNSPECIFIED,Repeated in search/acquisition docs,Sep18 uses same principle,"Retain as technical constraint, not product discovery outcome.",HIGH,PRIMARY_OR_CORROBORATING
C059,StudyNexus is a modular monolith using Laravel/LBC; microservices are not the current system design.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/canonical/04-architecture.md,Architecture style,V4.6,TECHNICAL CONSTRAINT,Canonical architecture,CURRENT,CURRENT_ARCHITECTURAL_CONSTRAINT,UNSPECIFIED,Explicit architecture evidence,No product need independently proves LBC itself,Retain as technical constraint only; exclude from product opportunity reasoning.,HIGH,PRIMARY_OR_CORROBORATING
C060,"JSONB should be exception/source-raw for variable document-like data, not default canonical domain modelling.",JSONB usage principles 02-09-26.md,JSONB Usage Principle,2026-09-02,TECHNICAL CONSTRAINT,Standalone technical principle,CURRENT/PROPOSED UNCLEAR,CURRENT_TECHNICAL_PRINCIPLE,UNSPECIFIED,Explicit file,Not a product requirement,"Keep in technical appendix only, not canonical product discovery.",MEDIUM,PRIMARY_OR_CORROBORATING
C061,Career pathways are an original need for secondary students but later focused discovery provides no substantive dedicated capability model.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Primary Users,2026-08-07,USER/PROBLEM INSIGHT,Historical business discovery,FROZEN,CURRENT_UNDERSPECIFIED,UNSCHEDULED,Explicit initial need,Later product focus largely omits it,"Career pathways remain an evidenced user information need with no explicit rejection. Current scope under the remediation rule, but the capability is under-discovered.",MEDIUM,PRIMARY_OR_CORROBORATING
C062,"Transfers, postgraduate opportunities and internships are original undergraduate needs but are not developed in later first-slice discovery.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Undergraduate Student,2026-08-07,USER/PROBLEM INSIGHT,Historical business discovery,FROZEN,CURRENT_UNDERSPECIFIED,UNSCHEDULED,Explicit initial need,Later focused discovery omits detail,"Transfers, postgraduate opportunities, and internships remain evidenced undergraduate needs with no explicit rejection. Current scope under the remediation rule, but each needs capability-level discovery.",MEDIUM,PRIMARY_OR_CORROBORATING
C063,"Community-contributed information exists as a trust/information category, but a full public community/Q&A product is not established by early problem discovery and is deferred later.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-7/OQ6-8,2026-08-07/08,DISCOVERY,Stakeholder definition,FROZEN,CURRENT_TRUST_CHANNEL_FULL_COMMUNITY_UNPROVEN,USER_REPORTS_CURRENT_FULL_COMMUNITY_UNSCHEDULED,Trust-category evidence,Later architecture grew community capability; first slice defers community,Preserve community-contributed evidence/user reports as an information-quality input. Do not infer a social community/Q&A product from that need; the broader community product remains unproven.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C064,Users need accreditation/recognition information as a legitimacy/trust and comparison input.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Problem/user needs + later domain,2026-08-07 onward,USER/PROBLEM INSIGHT,Historical discovery,FROZEN,CURRENT,UNSPECIFIED,Repeated across institution detail/domain,"No direct dedicated recognition product discovery, especially international",Retain need; detailed recognition semantics require external/domain research.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C065,Publication visibility is distinct from lifecycle/canonical status and can be selectively controlled.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/governance/DISCOVERY-CLOSURE.md,Publication Modeling,2026-08-10/19,DECISION,Discovery closure,APPROVED,CURRENT,FIRST_VERTICAL_SLICE_AND_BEYOND,Explicit separation,Sep18 selective landing pages reinforce,Retain conceptual separation; exact boolean/state technical model is implementation detail.,HIGH,PRIMARY_OR_CORROBORATING
C066,Core discovery/search/information access intended free; exact monetization deferred and should not drive information architecture.,StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,OQ4-4,2026-08-08,DECISION,Owner decision,RESOLVED/DEFERRED,CURRENT,UNSPECIFIED,Explicit,No later monetization evidence found,Keep as strategic principle and open business-research item.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C067,"Across admissions, examinations, funding and service access, StudyNexus repeatedly chooses inform/explain/discover/compare/handoff rather than operate external transactions or decisions.",Education Services & Access - Product Discovery Additions 03-09-2026.md,Product Boundary,2026-09-03,FINDING,Cross-corpus synthesis,N/A,CURRENT,UNSPECIFIED,"Repeated non-goals in business, scholarships, exams, services, news",No contradiction,Elevate as product boundary principle.,HIGH,PRIMARY_OR_CORROBORATING
C068,"Historical validity/time matters for cutoffs, policies, sources, scholarship cycles, exam schedules and news updates; history is contextual rather than one universal fact-version concept.",Scholarships - Product Discovery Additions 03-09-2026.md,History/Cycles,2026-09-03,FINDING,Cross-corpus synthesis,N/A,CURRENT,UNSPECIFIED,Repeated domain-specific temporal requirements,Earlier activity-log shortcuts sometimes treated corrections as sufficient,Retain temporal product need while leaving implementation/versioning per concept.,HIGH,PRIMARY_OR_CORROBORATING
C069,"Official/verified/historical/community-contributed are information categories/trust concepts, not necessarily four day-one product modes.",StudyNexus-V4.6-Developer-Handoff/PRE-IMPLEMENTATION-BASELINE-V2/archive/03-approved-decisions.md,A3-7/OQ6-8,2026-08-07/08,DECISION,Stakeholder definition,FROZEN,CURRENT,UNSPECIFIED,Explicit caveat,Later provenance/source reliability modelling differs technically,Preserve distinction between trust semantics and feature scope.,HIGH,PRIMARY_OR_CORROBORATING
C070,"Approved Sep03 additions (Catchment, Scholarships, News, Education Services) do not explicitly rewrite the overall first-vertical-slice/MVP roadmap.",Catchments-ELDS-Additions-03-09-2026.md,Status headers,2026-09-03,FINDING,Approved discovery additions,APPROVED DISCOVERY,HISTORICAL_DELIVERY_FACT_ONLY,HISTORICAL_ROADMAP_ONLY,All say Approved Product Discovery Addition,No explicit scope/roadmap amendment statement,It remains historically true that Sep03 additions did not amend the old roadmap. It is no longer a reason to treat those capabilities as out of current scope in this remediation.,HIGH,PRIMARY_OR_CORROBORATING
C070,"Approved Sep03 additions (Catchment, Scholarships, News, Education Services) do not explicitly rewrite the overall first-vertical-slice/MVP roadmap.",Scholarships - Product Discovery Additions 03-09-2026.md,Status headers,2026-09-03,FINDING,Approved discovery additions,APPROVED DISCOVERY,HISTORICAL_DELIVERY_FACT_ONLY,HISTORICAL_ROADMAP_ONLY,All say Approved Product Discovery Addition,No explicit scope/roadmap amendment statement,It remains historically true that Sep03 additions did not amend the old roadmap. It is no longer a reason to treat those capabilities as out of current scope in this remediation.,HIGH,PRIMARY_OR_CORROBORATING
C070,"Approved Sep03 additions (Catchment, Scholarships, News, Education Services) do not explicitly rewrite the overall first-vertical-slice/MVP roadmap.",News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Status headers,2026-09-03,FINDING,Approved discovery additions,APPROVED DISCOVERY,HISTORICAL_DELIVERY_FACT_ONLY,HISTORICAL_ROADMAP_ONLY,All say Approved Product Discovery Addition,No explicit scope/roadmap amendment statement,It remains historically true that Sep03 additions did not amend the old roadmap. It is no longer a reason to treat those capabilities as out of current scope in this remediation.,HIGH,PRIMARY_OR_CORROBORATING
C070,"Approved Sep03 additions (Catchment, Scholarships, News, Education Services) do not explicitly rewrite the overall first-vertical-slice/MVP roadmap.",Education Services & Access - Product Discovery Additions 03-09-2026.md,Status headers,2026-09-03,FINDING,Approved discovery additions,APPROVED DISCOVERY,HISTORICAL_DELIVERY_FACT_ONLY,HISTORICAL_ROADMAP_ONLY,All say Approved Product Discovery Addition,No explicit scope/roadmap amendment statement,It remains historically true that Sep03 additions did not amend the old roadmap. It is no longer a reason to treat those capabilities as out of current scope in this remediation.,HIGH,PRIMARY_OR_CORROBORATING
C071,Comparison is a current product capability because it is one of the original five problem dimensions and core MVP capabilities; an old decision to defer a dedicated comparison view is only delivery sequencing.,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Problem Space / Business Capabilities,2026-08,DISCOVERY+DECISION,Stakeholder-defined,ADOPTED,CURRENT,UNSCHEDULED_DEDICATED_VIEW,High repeated product evidence,Historical Phase-2 UI deferral,Treat comparison capability as current; do not require a dedicated comparison screen in the first slice.,HIGH,PRIMARY_OR_CORROBORATING
C072,WF7 (undergraduate current educational journey) was explicitly resolved as an approved workflow and no later corpus evidence rejects it.,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/04-open-questions.md,Resolved Questions / WF7,2026-08,DECISION,Stakeholder-defined,ADOPTED,CURRENT,UNSCHEDULED,Direct approved workflow evidence,Later focused slice omits it without explicit rejection,Treat as current product responsibility; absence from the first slice is not supersession.,HIGH,PRIMARY_OR_CORROBORATING
C073,Career pathways are an explicit information need of the primary secondary-student persona and remain current because no explicit rejection or supersession exists.,STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Primary Users,2026-08,USER/PROBLEM INSIGHT,Stakeholder-defined,ADOPTED,CURRENT_UNDERSPECIFIED,UNSCHEDULED,"Direct persona need, weak validation",Later documents underdevelop it,Keep current as an under-discovered information need; research exact job/outcome and minimum capability.,MEDIUM,PRIMARY_OR_CORROBORATING
C074,"Transfers, postgraduate opportunities, and internships are explicit undergraduate information needs and remain current absent a rejection.",STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/01-business-overview.md,Primary Users,2026-08,USER/PROBLEM INSIGHT,Stakeholder-defined,ADOPTED,CURRENT_UNDERSPECIFIED,UNSCHEDULED,"Direct persona need, weak validation",Later first-slice work omits them,Keep current as under-discovered opportunities; do not invent a unified capability yet.,MEDIUM,PRIMARY_OR_CORROBORATING
C075,"Evergreen educational content/guides/resources are part of the product direction, while exam-preparation resources are a distinct concern; old Phase labels are delivery history.",STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/24-final-platform-and-capability-architecture.md,Content/Information Layer,2026-08,PROPOSAL+ARCHITECTURAL CONSEQUENCE,Architecture synthesis,PROPOSED/ADOPTED_IN_PLATFORM_PLAN,CURRENT_SCOPE_PENDING_CAPABILITY_MINIMUM,HISTORICAL_PHASE_1C_1E,Moderate product evidence; architecture-heavy,Product discovery was thinner than implementation detail,Keep editorial/evergreen content in current scope but revalidate user outcomes and minimum content types; do not inherit old model/table design.,MEDIUM,PRIMARY_OR_CORROBORATING
C076,"Approved News discovery is current product scope; it has a distinct time-sensitive purpose and must link to, not own, canonical facts.",News Post-UTME - Product Discovery Additions V2 03-09-2026.md,Purpose / Core News Principle,2026-09-03,APPROVED DISCOVERY,Stakeholder approval,ADOPTED,CURRENT,UNSCHEDULED,Strong explicit approved discovery,Old content phase labels only,Retain as current capability; capability-level minimum still needs prioritization.,HIGH,PRIMARY_OR_CORROBORATING
C077,Approved Education Services & Access discovery is current product scope and is task/service oriented with authoritative handoff rather than operation of external services.,Education Services & Access - Product Discovery Additions 03-09-2026.md,Purpose / Product Boundary,2026-09-03,APPROVED DISCOVERY,Stakeholder approval,ADOPTED,CURRENT,UNSCHEDULED,Strong explicit approved discovery,No old roadmap placement,"Retain as current capability; breadth requires prioritization, not exclusion.",HIGH,PRIMARY_OR_CORROBORATING
C078,"Examination information is a current product-scope candidate; timetable/schedule semantics are still proposed rather than adopted, while practice/attempts/scoring/progress are a distinct deferred concern.",Proposed Product Discovery Addition 02-09-2026.md,Purpose / Product Boundary,2026-09-02,PROPOSAL,Proposed discovery,PROPOSED,CURRENT_SCOPE_PENDING_DECISION,UNSCHEDULED,Detailed proposal plus earlier exam-information interest,Old first-slice exclusion; proposal not approved,"Keep examination information in current scope under consideration, but do not treat proposed schedule model as canonical until ratified.",MEDIUM,PRIMARY_OR_CORROBORATING
C079,"The corpus supports accreditation as an authority decision/fact with a subject, granting authority, accreditation type/status, and effective period; it can apply at institution or programme/offering level and multiple authorities/scopes may coexist.",STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,Accreditation Record / Education Authority,2026-08,DOMAIN DISCOVERY,Historical domain discovery,ADOPTED_WITH_OPEN_DETAILS,CURRENT,UNSCHEDULED,Repeated domain evidence and external regulator corroboration,Some early Nigeria-specific invariants were revised,Use Accreditation as a concrete business term. Do not collapse all legitimacy concepts into one generic Recognition term.,HIGH,PRIMARY_OR_CORROBORATING
C080,"Recognition is overloaded in the corpus: qualification recognition, institution approval/recognized status, and accreditation are not established as one universal business concept.",STUDYNEXUS-V4.6-SOURCE-CORPUS/PRE-IMPLEMENTATION-BASELINE-V2/archive/16-domain-discovery-topic3.md,Qualification / Accreditation / Authority,2026-08,FINDING,Forensic remediation,INFERRED_FROM_CORPUS,UNRESOLVED_UNIVERSAL_TERM,NOT_APPLICABLE,Strong semantic comparison,Later architecture proposed a Recognition module without equivalent product-language proof,"For UL, prefer specific terms (Accreditation, Qualification Recognition, Institution Approval/Status) until evidence supports a broader Recognition concept.",HIGH,PRIMARY_OR_CORROBORATING
C081,"For Ubiquitous Language, Institution Offering is the preferred business term for the source-faithful fact that an institution offers a named course/programme; ProgrammeInstance is historical technical/domain language for contextual variation, not a required product term.",STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,3.2 InstitutionOffering / 65 InstitutionOffering Is Not Necessarily a Programme Master Record,2026-09-18,REMEDIATION CONCLUSION,Forensic remediation,RESOLVED_WITH_ASSUMPTION,CURRENT,UL_INPUT,Strong reconciliation of early business meaning + later variation evidence,"Sep18 document itself is proposed, not formally ratified",Adopt as explicit remediation assumption for UL; re-open only if owner rejects source-faithful offering terminology or representative data disproves it.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C082,"Discovery Programme is a distinct StudyNexus-curated discovery concept, not the factual institutional offering, and absence of classification must not erase or block an offering.",STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,10-11 DiscoveryProgramme / Optional Classification,2026-09-18,REMEDIATION CONCLUSION,Forensic remediation,RESOLVED_WITH_ASSUMPTION,CURRENT,UL_INPUT,Strong product reasoning; consistent with search/discovery problem,Proposal lacks separate formal ratification,Adopt as explicit remediation assumption for UL: classification is optional; offering availability and classification are separate.,MEDIUM-HIGH,PRIMARY_OR_CORROBORATING
C083,One institutional offering may participate in multiple subject/classification mappings where a classification scheme permits it; this does not mean the institution offers several separate programmes.,STUDYNEXUS_PROGRAMME_DISCOVERY_CLASSIFICATION-18th-Sept-2026.md,32-33 Classification cardinality,2026-09-18,PROPOSAL,Proposed discovery,PROPOSED,CURRENT_SCOPE_PENDING_DECISION,UNSCHEDULED,Clear proposal with realistic interdisciplinary examples,No formal decision,Preserve as non-blocking classification design question; UL should distinguish Offering identity from Classification membership.,MEDIUM,PRIMARY_OR_CORROBORATING
C084,"Multi-country delivery remains excluded from the strategic MVP, but international semantic variability is a current design constraint and research stress test.",Catchments-ELDS-Additions-03-09-2026.md,International Extensibility Principle,2026-09-03,APPROVED DISCOVERY,Stakeholder approval,ADOPTED,CURRENT_NIGERIA_DELIVERY,SEMANTIC_CONSTRAINT,Strong explicit evidence,"Earlier Nigeria-only decision is scope, not semantic contradiction",Keep Nigeria-first delivery and country-neutral semantics where already justified; do not invent global abstractions.,HIGH,PRIMARY_OR_CORROBORATING
C085,Rankings/institutional intelligence remain genuinely unresolved: the dedicated September ranking file is empty and architecture references alone do not prove a user problem or current capability.,Ranking - Product Discovery Additions 03-09-2026.md,Entire file,2026-09-03,NO EVIDENCE,N/A,EMPTY,UNKNOWN,UNSCHEDULED,Negative evidence,Scattered ranking references in architecture/domain docs,Do not canonicalize ranking capability; require fresh user/problem discovery or a concrete imported-ranking use case.,HIGH,PRIMARY_OR_CORROBORATING
